irep,clh,resch,klun,kbra,khrt,kskn,kmus,kadi,kspl,kgio,khep,kkid,kres
21,15.723422008792094,0.790345725608842,2.8580245954299497,0.949565637878348,3.105681062460946,0.4568402400566333,0.7640983294879333,0.3383223054685457,5.473539284303131,1.859407667544961,3.5341513150557726,6.445586882907851,3.8416760446348146
22,24.258030224513192,0.8509908787388308,5.533261889853854,0.4814184513595869,3.5244710304060414,0.752792348263543,0.3595561091933301,0.1542744290384171,4.177386837936633,1.7856576824893535,8.800009992183211,4.853155640877293,2.9617159332580822
23,11.030314870932221,0.4350455896297552,5.840276308748802,0.5973822395833375,5.027377085997866,0.6589457953448035,1.137204541716385,0.41245082168911607,1.3517080022444878,2.4028644143573876,5.883379062829253,11.090568836909128,2.230678576924328
24,4.130156727179383,0.49133719288935257,2.3889550657084304,0.5479252362615398,7.746603949144448,0.6779138055054073,1.178205134508627,0.39336385303289506,1.1286376196150676,1.1939179781939382,1.4290526966388413,23.38117678082798,2.995843902355154
25,5.413299039650258,1.0408226167542944,2.980594749873253,0.7792208699992886,3.706543873683305,0.42018400334918876,1.7105720755094274,0.864462493049017,1.4830585476573415,2.5873104080285065,6.154336668836687,6.869400246002348,3.2350630294428497
26,10.922933708897293,0.5098365411950735,9.130928612546052,0.47324411734164773,2.435358448163108,1.046757192071661,0.8983734200335214,0.28555896415663756,0.8705159666827335,1.8742832884747835,2.0233587355120983,7.054316065212103,4.113839333679804
27,20.27130795271684,0.7388371471465409,1.8851300933649495,0.28102174281059955,1.4742322674276924,0.5258729019283378,0.7392481594337698,0.4683166081025288,0.9699913346046232,1.2861876470281726,1.9595357507203914,3.015692305127041,7.634722020639093
28,11.075948866399392,1.2008538946712075,6.294393738316432,0.6397563201293098,5.950655036282634,1.3096729666256006,0.6533382687920058,0.6836792846639321,3.446584984350768,4.748722063849303,1.5571872819852113,16.50542459952848,4.906339805227471
29,7.844150266420857,0.4740795256554639,2.63389751208874,1.5702068652009085,4.126705992991706,0.6508830599056418,1.7883936625618049,0.13899957686059067,0.6198223405299372,3.8649054724293457,7.1643877645626395,5.506336863419509,3.3244425153807224
30,10.781084426396472,0.512689156807795,1.6116163725467614,0.28501713815624313,4.685427517049496,0.5995969923486905,0.6966212480978015,0.5150898771836475,1.7281746472869102,2.1867746521483546,3.116557197970401,29.952576537731332,5.864062116901913
31,28.929410633823288,0.4311095437875914,2.274959520321045,0.921472041987816,4.443542133172206,0.6633827654491953,1.5601594948702635,0.5885929585237176,1.2261060518081988,2.989536945160161,4.593811504220928,17.909644318871454,3.1525760301643495
32,19.098573654037047,0.6700883219974063,1.7890680080462906,0.40511803517562006,4.85403541184522,0.5832093763529492,0.9133565677549691,0.3674975534654464,2.318851391201079,3.677296924966639,5.441531609316276,27.87008147268109,5.4981060838717095
33,9.865257822627818,0.7731626949265216,2.2881075908624884,0.49515657907644883,2.4956148739333766,1.0456066296605937,0.6296929943039998,0.3345064537339569,0.6907093926804878,3.3628783926329575,3.2076266709634256,9.546835830388922,4.045851320516733
34,20.214241827799835,0.6392999147578189,3.504166638645857,0.7897679847512744,4.749411853997141,0.46872428946415523,1.581148836251182,0.38639059017731264,0.8402417512480043,6.305674641389807,3.525463895815188,4.754674972495562,4.807126809750988
35,19.059848328049583,0.7109300270285535,5.184540877984041,0.40035223222946337,3.869768748322283,0.5609790798417513,1.4139797384886124,0.18166198078025245,1.55932215991555,5.690739275373329,8.852777516887361,6.58946329332581,3.2254652732088593
36,8.725812452190695,0.5042213196125445,4.512641673895485,0.7395310601585209,4.249196541740262,1.138559105007682,1.3765562277065784,0.41707031417947726,1.3546708487380446,9.840357793102456,3.08746047268457,8.54576838082343,4.236676974158384
37,12.479367545405557,0.5720121414025312,1.5500869350155748,1.226193356731696,4.752975227372589,0.35131158604278934,0.7413029956570487,0.6808199856108081,0.8536868508027174,2.6446173085425864,5.110774006019565,43.09728693534048,6.54663088500749
38,16.279822203929857,0.7424037075016355,2.630450185000711,0.40350493758914036,2.295355354467708,0.49059674322062935,1.770950634631613,0.45325238007585844,2.548820147472981,5.860326994268811,2.256681568530258,5.256577196909728,3.090102567774325
39,18.48027205466434,0.8130749014052778,4.908516211646761,0.7100513200140832,8.286869101463205,0.5688583771782351,1.1225341180737458,0.19606322200787127,2.3300911502289563,4.677324427458046,4.0695305646870565,10.771635333891131,2.906313397787105
